iter,R,remLev,refresh,objective,elapsed_s
0,1.5,9,0,16.305926,396.879
1,1.5,15,1,7.253699,524.143
2,1.5,9,0,4.667762,619.434
3,1.5,15,1,3.697888,709.746
4,1.5,9,0,3.406770,812.415
5,1.5,15,1,3.083174,885.839
6,1.5,9,0,2.957959,973.029
7,1.5,15,1,2.752435,1065.88
8,1.5,9,0,2.670108,1206.4
9,1.5,15,1,2.551143,1301.29
10,1.5,9,0,2.493623,1409.77
11,1.5,15,1,2.420947,1522.29
12,1.5,9,0,2.377485,1641.35
13,1.5,15,1,2.330876,1731.18
14,1.5,9,0,2.303090,1832.1
15,1.5,15,1,2.277651,1926.68
16,1.5,9,0,2.263740,2036.65
17,1.5,15,1,2.252167,2123.01
18,1.5,9,0,2.258444,2222.84
19,1.5,15,1,2.438888,2306.35
20,1.5,9,0,1846.606611,2403.53
21,1.5,9,0,ABORT,2403.54
