iter,R,remLev,refresh,objective,mem_used_MB,elapsed_s
0,3,9,0,15.302663,603.97,8833.42
1,3.00,15,1,7.100547,608.65,8929.99
2,3.00,9,0,4.868875,607.62,9038.66
3,3.00,15,1,4.044012,621.49,9133.13
4,3.00,9,0,3.812966,609.73,9240.76
5,3.00,15,1,3.462486,616.57,9335.60
6,3.00,9,0,3.325719,608.72,9439.93
7,3.00,15,1,3.099860,623.59,9533.80
8,3.00,9,0,3.011572,609.74,9638.52
9,3.00,15,1,2.899801,619.83,9734.80
10,3.00,9,0,2.846163,610.40,9841.79
11,3.00,15,1,2.775468,623.58,9933.83
12,3.00,9,0,2.731353,609.31,10037.14
13,3.00,15,1,2.678202,621.96,10155.00
14,3.00,9,0,2.641366,607.30,10269.50
15,3.00,15,1,2.603015,621.15,10370.24
16,3.00,9,0,2.574013,615.35,10485.91
17,3.00,15,1,2.545782,616.86,10586.40
18,3.00,9,0,2.524255,609.58,10700.16
19,3.00,15,1,2.504415,618.88,10801.14
20,3.00,9,0,2.488803,608.93,10914.99
21,3.00,15,1,2.474184,613.55,11016.82
22,3.00,9,0,2.462703,607.06,11129.62
23,3.00,15,1,2.452597,619.77,11229.17
24,3.00,9,0,2.444878,609.73,11343.28
25,3.00,15,1,2.437663,621.14,11445.34
26,3.00,9,0,2.431805,610.17,11560.34
27,3.00,15,1,2.426487,619.93,11660.81
28,3.00,9,0,2.421958,608.22,11773.78
29,3.00,15,1,2.417487,621.16,11878.64
30,3.00,9,0,2.413673,608.70,12001.82
31,3.00,15,1,2.410093,618.19,12111.65
32,3.00,9,0,2.407263,608.23,12237.03
33,3.00,15,1,2.404746,619.71,12345.92
34,3.00,9,0,2.402579,608.44,12465.34
35,3.00,15,1,2.400480,615.91,12596.49
36,3.00,9,0,2.398645,609.64,12712.96
37,3.00,15,1,2.396876,620.01,12820.37
38,3.00,9,0,2.395450,606.95,12940.73
39,3.00,15,1,2.394028,620.15,13057.03
40,3.00,9,0,2.392785,608.29,13178.19
41,3.00,15,1,2.391623,620.71,13282.49
42,3.00,9,0,2.390611,607.91,13429.69
43,3.00,15,1,2.389577,626.69,13538.24
44,3.00,9,0,2.388940,609.15,13652.72
45,3.00,15,1,2.388212,619.74,13752.10
46,3.00,9,0,2.387569,608.76,13862.98
47,3.00,15,1,2.386947,615.60,13961.51
48,3.00,9,0,2.386441,610.77,14070.68
49,3.00,15,1,2.385947,623.52,14169.44
