iter,R,remLev,refresh,objective,mem_used_MB,elapsed_s
0,5,9,0,14.738190,602.19,14292.16
1,5.00,15,1,6.837694,615.77,14392.53
2,5.00,9,0,4.926757,607.36,14568.53
3,5.00,15,1,4.229543,616.19,14666.92
4,5.00,9,0,4.037581,607.94,14779.60
5,5.00,15,1,3.694235,616.07,14875.77
6,5.00,9,0,3.559842,607.78,14984.97
7,5.00,15,1,3.366088,618.93,15083.96
8,5.00,9,0,3.296498,610.02,15194.66
9,5.00,15,1,3.210796,622.51,15296.40
10,5.00,9,0,3.176473,610.77,15407.32
11,5.00,15,1,3.127113,614.89,15507.22
12,5.00,9,0,3.096246,610.01,15618.23
13,5.00,15,1,3.054142,635.96,15717.33
14,5.00,9,0,3.023694,607.81,15826.00
15,5.00,15,1,2.990271,614.33,15923.16
16,5.00,9,0,2.965951,609.64,16033.23
17,5.00,15,1,2.941768,615.26,16129.54
18,5.00,9,0,2.923091,607.73,16238.06
19,5.00,15,1,2.906251,624.98,16334.89
20,5.00,9,0,2.892563,606.04,16459.00
21,5.00,15,1,2.879356,625.51,16575.13
22,5.00,9,0,2.868074,610.78,16685.50
23,5.00,15,1,2.857047,621.34,16795.50
24,5.00,9,0,2.847262,610.51,16913.18
25,5.00,15,1,2.837570,619.21,17012.24
26,5.00,9,0,2.828745,612.42,17122.90
27,5.00,15,1,2.820071,619.65,17226.00
28,5.00,9,0,2.812195,611.84,17339.04
29,5.00,15,1,2.804832,624.83,17438.27
30,5.00,9,0,2.797965,612.91,17549.51
31,5.00,15,1,2.791394,628.31,17650.07
32,5.00,9,0,2.785301,611.22,17763.49
33,5.00,15,1,2.779541,621.82,17863.40
34,5.00,9,0,2.774067,611.60,18063.62
35,5.00,15,1,2.768904,626.54,18177.74
36,5.00,9,0,2.764037,611.30,18315.45
37,5.00,15,1,2.759385,620.07,18425.70
38,5.00,9,0,2.755107,611.29,18547.25
39,5.00,15,1,2.750910,617.42,18660.54
40,5.00,9,0,2.747193,611.44,18783.94
41,5.00,15,1,2.743425,621.16,18905.51
42,5.00,9,0,2.740066,647.73,19032.07
43,5.00,15,1,2.736749,613.76,19152.55
44,5.00,9,0,2.733649,609.98,19275.61
45,5.00,15,1,2.730558,615.73,19393.73
46,5.00,9,0,2.727870,610.12,19515.19
47,5.00,15,1,2.725240,622.68,19625.46
48,5.00,9,0,2.722781,611.25,19747.27
49,5.00,15,1,2.720450,618.88,19864.40
